k,parameter,rejection_rate,infinite_rate,finite_mean_statistic,finite_variance_statistic,family,side,parameter_name
10,0.35,0.0898,0.0106,1.030426880636367,0.14808560488896735,power_endpoint,H0,beta
20,0.35,0.0848,0.0066,1.022157603113578,0.0701950319204676,power_endpoint,H0,beta
30,0.35,0.0798,0.0068,1.015777462645348,0.04595580770777846,power_endpoint,H0,beta
40,0.35,0.0848,0.0078,1.010895272258906,0.03434492713869866,power_endpoint,H0,beta
50,0.35,0.072,0.0064,1.009333586941221,0.02649842744355598,power_endpoint,H0,beta
60,0.35,0.069,0.0064,1.0077730083177188,0.021976893177838294,power_endpoint,H0,beta
70,0.35,0.0744,0.0076,1.0079447415613492,0.019352822762733965,power_endpoint,H0,beta
80,0.35,0.0718,0.0062,1.0057497060646672,0.016525611473045668,power_endpoint,H0,beta
90,0.35,0.0676,0.0062,1.0048888572252992,0.014413400144580042,power_endpoint,H0,beta
100,0.35,0.0626,0.0048,1.005331439252699,0.013047484661707626,power_endpoint,H0,beta
110,0.35,0.0656,0.0048,1.0049478097635725,0.01180836464222831,power_endpoint,H0,beta
120,0.35,0.066,0.0046,1.0044414642202912,0.010851298462378579,power_endpoint,H0,beta
130,0.35,0.0622,0.005,1.0035693611875522,0.009917886280903307,power_endpoint,H0,beta
140,0.35,0.0624,0.0048,1.0028865746226945,0.009195666172562606,power_endpoint,H0,beta
150,0.35,0.0592,0.0054,1.0009908589571437,0.00842899464983644,power_endpoint,H0,beta
160,0.35,0.0638,0.0042,1.0008053122545773,0.008087252091962269,power_endpoint,H0,beta
170,0.35,0.0574,0.004,1.000774975696343,0.007479236442816171,power_endpoint,H0,beta
180,0.35,0.0566,0.0034,1.0004202602057164,0.006972313177372848,power_endpoint,H0,beta
190,0.35,0.059,0.0034,1.0000626261417531,0.006693478898749598,power_endpoint,H0,beta
200,0.35,0.0558,0.0028,1.000835117426255,0.00640660714129663,power_endpoint,H0,beta
210,0.35,0.054,0.003,1.0003146703072654,0.006106362472476322,power_endpoint,H0,beta
220,0.35,0.0538,0.0034,0.9999141207023593,0.005869707588293831,power_endpoint,H0,beta
230,0.35,0.0526,0.002,1.0004121224959297,0.005535583624110805,power_endpoint,H0,beta
240,0.35,0.0536,0.0022,1.0002238174615963,0.005379370344639463,power_endpoint,H0,beta
250,0.35,0.0536,0.0018,1.0000265679839446,0.005094993780015411,power_endpoint,H0,beta
260,0.35,0.0544,0.002,0.9996235092054289,0.004923003917298371,power_endpoint,H0,beta
270,0.35,0.0534,0.0026,0.9997359488651862,0.004703034342945198,power_endpoint,H0,beta
280,0.35,0.0518,0.002,0.9997697987096617,0.004548607084376193,power_endpoint,H0,beta
290,0.35,0.0556,0.0022,1.000125582995546,0.004399838773696851,power_endpoint,H0,beta
300,0.35,0.0538,0.002,1.0001593583315602,0.0042172713566865855,power_endpoint,H0,beta
310,0.35,0.0556,0.0018,1.00005849584438,0.00406856698330418,power_endpoint,H0,beta
320,0.35,0.0542,0.0022,1.0000672737776402,0.003911857123435917,power_endpoint,H0,beta
330,0.35,0.0562,0.0028,1.0002305626566144,0.0038069721519389177,power_endpoint,H0,beta
340,0.35,0.0552,0.0024,1.0003183950260754,0.0036889266699769037,power_endpoint,H0,beta
