k,parameter,rejection_rate,infinite_rate,finite_mean_statistic,finite_variance_statistic,family,side,parameter_name
50,0.35,0.072,0.0064,1.009333586941221,0.02649842744355598,power_endpoint,H0,beta
100,0.35,0.0626,0.0048,1.005331439252699,0.013047484661707626,power_endpoint,H0,beta
200,0.35,0.0558,0.0028,1.000835117426255,0.00640660714129663,power_endpoint,H0,beta
300,0.35,0.0538,0.002,1.0001593583315602,0.0042172713566865855,power_endpoint,H0,beta
400,0.35,0.0528,0.0018,1.000316413024462,0.003149164624269967,power_endpoint,H0,beta
500,0.35,0.0522,0.0022,0.9999803948405711,0.0024729477619263723,power_endpoint,H0,beta
50,0.4,0.0032,0.0,0.8643631900444289,0.01673258576372097,power_endpoint,H0,beta
100,0.4,0.0032,0.0,0.9063237629371877,0.009182882368211133,power_endpoint,H0,beta
200,0.4,0.0074,0.0,0.9469341634674946,0.0051325932731212665,power_endpoint,H0,beta
300,0.4,0.0138,0.0,0.9737898569734829,0.003668524601406093,power_endpoint,H0,beta
400,0.4,0.0346,0.0,0.9938820720766794,0.0028600642877733996,power_endpoint,H0,beta
500,0.4,0.0656,0.0,1.0099971864315787,0.002323687306505027,power_endpoint,H0,beta
50,0.5,0.0,0.0,0.6329343007121166,0.008058374197682738,power_endpoint,H0,beta
100,0.5,0.0,0.0,0.7148065706683163,0.005403182902990759,power_endpoint,H0,beta
200,0.5,0.0,0.0,0.8132456852136782,0.003510178263825347,power_endpoint,H0,beta
300,0.5,0.0002,0.0,0.8806217163422847,0.002853084494693001,power_endpoint,H0,beta
400,0.5,0.0008,0.0,0.9331293484469446,0.0024215645412141934,power_endpoint,H0,beta
500,0.5,0.0152,0.0,0.9768371449571798,0.0021600203701016645,power_endpoint,H0,beta
50,0.7,0.0,0.0,0.32941199074203986,0.0022376706987238754,power_endpoint,H0,beta
100,0.7,0.0,0.0,0.4277098975868156,0.0019494590767962468,power_endpoint,H0,beta
200,0.7,0.0,0.0,0.5611337134723224,0.0017124446478564222,power_endpoint,H0,beta
300,0.7,0.0,0.0,0.6625446938930702,0.0015983301488438511,power_endpoint,H0,beta
400,0.7,0.0,0.0,0.7477274282623076,0.0015808245930028777,power_endpoint,H0,beta
500,0.7,0.0,0.0,0.8247387447075653,0.001531430106966318,power_endpoint,H0,beta
50,0.33,0.171,0.0356,1.0685677127382043,0.033933437215944835,power_endpoint,H1,beta
100,0.33,0.153,0.0376,1.043256951724576,0.015151230299569603,power_endpoint,H1,beta
200,0.33,0.1272,0.0344,1.0207216090438778,0.00707276790832269,power_endpoint,H1,beta
300,0.33,0.0934,0.0272,1.007645470407963,0.004389780928217894,power_endpoint,H1,beta
400,0.33,0.0716,0.0218,0.9985802599606945,0.003131369985726891,power_endpoint,H1,beta
500,0.33,0.0578,0.0176,0.9916803481916717,0.00247750812430849,power_endpoint,H1,beta
50,0.3,0.3656,0.1644,1.1381548936962433,0.0387572115194178,power_endpoint,H1,beta
100,0.3,0.3566,0.1754,1.0880946618922638,0.017622410723234814,power_endpoint,H1,beta
200,0.3,0.2696,0.167,1.0332506423813042,0.007277859805789624,power_endpoint,H1,beta
300,0.3,0.1924,0.1422,1.0016157160075514,0.0043913182383174335,power_endpoint,H1,beta
400,0.3,0.144,0.1228,0.9796757460791808,0.003087844937161811,power_endpoint,H1,beta
500,0.3,0.1098,0.1002,0.9638975320414092,0.0024081262429626504,power_endpoint,H1,beta
50,0.27,0.5634,0.3274,1.196393834692918,0.04344697259487567,power_endpoint,H1,beta
100,0.27,0.5202,0.3426,1.1105649003637037,0.018321693533722337,power_endpoint,H1,beta
200,0.27,0.3944,0.3144,1.0271181617744738,0.0076274929348097605,power_endpoint,H1,beta
300,0.27,0.2892,0.2646,0.982056800018674,0.00446129154230591,power_endpoint,H1,beta
400,0.27,0.2278,0.2228,0.9500879981509657,0.002959615615617552,power_endpoint,H1,beta
500,0.27,0.1812,0.1804,0.9264473056882998,0.0022509202864750373,power_endpoint,H1,beta
50,0.25,0.6414,0.4296,1.2112680605098463,0.04301945842445028,power_endpoint,H1,beta
100,0.25,0.5938,0.439,1.1125941583901975,0.01941356845027374,power_endpoint,H1,beta
200,0.25,0.4512,0.3948,1.0161230470831977,0.007358980429019271,power_endpoint,H1,beta
300,0.25,0.3452,0.3352,0.9612724321627855,0.004326029645459236,power_endpoint,H1,beta
400,0.25,0.275,0.2736,0.9234179504706406,0.0028900274844315785,power_endpoint,H1,beta
500,0.25,0.2168,0.2168,0.8949657017593501,0.0020848116944067407,power_endpoint,H1,beta
50,-0.5,0.0,0.0,0.4489320067111854,0.003635678179114494,log_perturbed_endpoint,H0,theta
100,-0.5,0.0,0.0,0.49776097142065917,0.0022957904667798975,log_perturbed_endpoint,H0,theta
200,-0.5,0.0,0.0,0.5691901554148993,0.0016236552958066052,log_perturbed_endpoint,H0,theta
300,-0.5,0.0,0.0,0.6249910833417816,0.0012977342351138642,log_perturbed_endpoint,H0,theta
400,-0.5,0.0,0.0,0.6746435823186399,0.001168338511983316,log_perturbed_endpoint,H0,theta
500,-0.5,0.0,0.0,0.7205445198199397,0.0010592985716792512,log_perturbed_endpoint,H0,theta
50,-0.25,0.0,0.0,0.6583957795286098,0.00850324060960576,log_perturbed_endpoint,H0,theta
100,-0.25,0.0,0.0,0.6970961502347626,0.004853774997911559,log_perturbed_endpoint,H0,theta
200,-0.25,0.0,0.0,0.7480751981247353,0.002868443159821789,log_perturbed_endpoint,H0,theta
300,-0.25,0.0,0.0,0.7876750243075885,0.0022404190698900863,log_perturbed_endpoint,H0,theta
400,-0.25,0.0,0.0,0.822737842941272,0.001816384514216716,log_perturbed_endpoint,H0,theta
500,-0.25,0.0,0.0,0.8536564299696296,0.0015441054901767428,log_perturbed_endpoint,H0,theta
50,-0.1,0.002,0.0,0.8388166229631101,0.015492299643692952,log_perturbed_endpoint,H0,theta
100,-0.1,0.0006,0.0,0.8591719086359513,0.008223981874986208,log_perturbed_endpoint,H0,theta
200,-0.1,0.0006,0.0,0.8880557200684943,0.004511649778866369,log_perturbed_endpoint,H0,theta
300,-0.1,0.0006,0.0,0.9082286548681066,0.003098357913571957,log_perturbed_endpoint,H0,theta
400,-0.1,0.0006,0.0,0.9253290303123572,0.002385814308210685,log_perturbed_endpoint,H0,theta
500,-0.1,0.0014,0.0,0.9402885562769839,0.0019815097028143764,log_perturbed_endpoint,H0,theta
50,0.0,0.0738,0.0056,1.0097439666596395,0.02661245077925217,log_perturbed_endpoint,H0,theta
100,0.0,0.0696,0.0068,1.0059033585513557,0.012780738112275567,log_perturbed_endpoint,H0,theta
200,0.0,0.0652,0.0048,1.0035131922424532,0.006470838355048975,log_perturbed_endpoint,H0,theta
300,0.0,0.0608,0.0034,1.0023306065792195,0.004201286396345875,log_perturbed_endpoint,H0,theta
400,0.0,0.0604,0.0026,1.0018558305385217,0.003192503992228311,log_perturbed_endpoint,H0,theta
500,0.0,0.055,0.0022,1.0006826964459834,0.002489786379681089,log_perturbed_endpoint,H0,theta
50,0.05,0.2202,0.0474,1.1062992494069468,0.03444293361651193,log_perturbed_endpoint,H1,theta
100,0.05,0.2564,0.0568,1.0864757518100026,0.016064213010431216,log_perturbed_endpoint,H1,theta
200,0.05,0.276,0.0662,1.0659228956762061,0.007875082119498314,log_perturbed_endpoint,H1,theta
300,0.05,0.2682,0.0732,1.0513051355988714,0.005073777998359107,log_perturbed_endpoint,H1,theta
400,0.05,0.2448,0.071,1.0404261679163826,0.0036232130248718296,log_perturbed_endpoint,H1,theta
500,0.05,0.2234,0.0674,1.0315890628116116,0.0028010048232426864,log_perturbed_endpoint,H1,theta
50,0.1,0.4678,0.1746,1.204882576447323,0.04311628237958568,log_perturbed_endpoint,H1,theta
100,0.1,0.5554,0.2322,1.1669950963267997,0.020101920920447866,log_perturbed_endpoint,H1,theta
200,0.1,0.6178,0.2928,1.1276008680916247,0.009020541537015148,log_perturbed_endpoint,H1,theta
300,0.1,0.6198,0.3072,1.0992318163625812,0.005786441787948001,log_perturbed_endpoint,H1,theta
400,0.1,0.5778,0.3122,1.0760843831010916,0.004213492695505315,log_perturbed_endpoint,H1,theta
